StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q27,Q0,Q0,Q29,Q30,Q30_6_TEXT,Q0,Q24,Q24_7_TEXT,Q25,Q26,Q26_5_TEXT,Q28,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Q16,Q17,Q18
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter your participant ID. This will be given to you by the person running your experiment.,Please choose your age range.,Please choose your gender.,Do you identify as having a disability?,"(Optional) If comfortable, please indicate any disabilities you identify with: (Check all that apply) - Selected Choice","(Optional) If comfortable, please indicate any disabilities you identify with: (Check all that apply) - Other (please specify) - Text","Do you identify as neurodivergent based on the definition below?

Neurodivergent refers to individuals whose cognitive functioning differs from what is considered typical (or ""neurotypical""). This term includes a broad range of neurological variations, such as: 

Autism Spectrum Disorder (ASD),
Attention Deficit Hyperactivity Disorder (ADHD),
Dyslexia,
Dyscalculia,
and other learning differences (e.g. Tourette Syndrome, Obsessive-Compulsive Disorder (OCD)).","(Optional) If comfortable, please indicate any neurodivergent traits or diagnoses you identify with: - Selected Choice","(Optional) If comfortable, please indicate any neurodivergent traits or diagnoses you identify with: - Other - Text",How often do you use captions?,In what environments do you use captioning services? - Selected Choice,In what environments do you use captioning services? - Other - Text,How familiar are you with AI-based captioning systems?,The captions were easy to read and understand. - Click to write Choice 1,The additional sentiment/context information was helpful in understanding the speaker’s intent. - Click to write Choice 1,The captioned information was presented in a way that did not feel overwhelming. - Click to write Choice 1,The augmented captions improved my comprehension of the video content. - Click to write Choice 1,The sentiment/context annotations were clear and unambiguous. - Click to write Choice 1,"Compared to standard captions, the enriched captions provided more useful context for understanding tone and intent. - Click to write Choice 1",I prefer the enriched captions over standard captions for better comprehension. - Click to write Choice 1,The enriched captions provided information that was unnecessary or distracting. - Click to write Choice 1,I felt more confident in my understanding of the video when using the enriched captions. - Click to write Choice 1,"The sentiment/context annotations helped clarify ambiguous speech (e.g., sarcasm, uncertainty). - Click to write Choice 1",The system should allow customization of how much sentiment/context information is displayed. - Click to write Choice 1,What aspects of the enriched captions did you find most helpful?,"Did you encounter any situations where the sentiment/context annotations felt incorrect or unnecessary? If so, please describe.",What changes or improvements would you suggest for the user interface of the system?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_6_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_7_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_5_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}"
2025-04-07 12:48:46,2025-04-07 13:47:40,IP Address,130.64.64.39,100,3533,True,2025-04-07 13:47:41,R_53dfYRappBGSORH,,,,,42.415,-71.1061,anonymous,EN,,18-24,Non-binary / third gender,No,,,No,,,Most of the time,Movies/TV Shows,,Slightly familiar,4,5,2,5,4,4,4,4,5,5,5,I enjoyed the context that they provided. I thought it was really accurate and added to my understanding of the captions.,Nope!,There were some context captions with nothing in the square brackets and I thought that was a bit confusing in terms of context like I wasn't sure if this meant no context or the AI couldn't find context for the interaction.
2025-04-07 13:39:29,2025-04-07 13:49:10,IP Address,50.187.129.229,100,581,True,2025-04-07 13:49:10,R_5X94yo4m2P01ViV,,,,,42.8674,-71.3793,anonymous,EN,N/A,18-24,Female,No,,,No,,,Most of the time,Movies/TV Shows,,Not familiar at all,4,4,2,3,4,4,2,4,3,4,5,"If I only had the captions/transcript, it would be helpful to know the tone/intent of the speakers words. Especially in this video where Alex is being very sarcastic, it would be hard to get the sarcasm solely from just read the regular captions. ","maybe in this one:   ""context"": ""Emotional tone: [romantic]\n\nSubtext: [desire for a relationship]\n\nContext: [heartbroken]"" -- I don't know if ""heartbroken"" feels like the right context . I was also confused by this one """"Emotional tone: Neutral\nSubtext: None\nNon-literal meaning: The caption is asking the viewer to describe their own unique qualities or differences."" in this one I thought it might be a sexual inuendo ""Yes, babe. I can't eat the bone."", ""context"": ""Context: [sarcastic]""","I would say less brackets or slashes. It helps when you can read it through without having the interruption of a bracket or slash. Maybe putting the caption first and then the time stamp. the regular captions are easier to read because they don't have as many words/symbols. "
2025-04-07 14:21:28,2025-04-07 14:27:16,IP Address,73.186.203.145,100,347,True,2025-04-07 14:27:16,R_7g3XfIF1ZIZovfz,,,,,42.415,-71.0527,anonymous,EN,,18-24,Female,No,,,Unsure / Prefer Not To Say,,,About half the time,Movies/TV Shows,,Very familiar,2,5,2,5,4,5,2,2,4,5,5,I liked that the emotion was listed next to what the person was saying.,"There was one augmented caption that said ""offensive"" and I did not think Amelia was being offensive in a genuinely offensive way. I think it was more of a joking type of offensive and many neurodivergent people won't be able to understand that it's a joke without that context.","I'm not sure exactly how it would be implemented, but I would suggest putting the emotion (i.e. ""flippant"" ""sarcastic"" or ""romantic"") before the actual sentence someone says in a caption, as reading the emotion AFTER reading the sentence does not provide as much context (compared to initially knowing the emotion prior to reading the caption)."
2025-04-07 15:14:25,2025-04-07 15:20:12,IP Address,130.64.64.37,100,347,True,2025-04-07 15:20:13,R_3q9HGEkUIdpkeJE,,,,,42.415,-71.1061,anonymous,EN,,18-24,Male,No,,,No,,,Always,Movies/TV Shows,,Moderately familiar,3,4,2,3,4,4,4,3,4,4,4,"Since I did not watch the video before reading the augmented transcript, I think they helped a lot in setting the stage and the emotional context of both characters. It helped me notice the tone and how the characters ""vibe"" with each other. ","The sentiment and content definitely added context to what was happening. However I feel like if I was reading the augmented captions along with the video, it would be too distracting to keep up with the extra content descriptions while also paying attention to the video. ","The syntax was a little bit confusing to understand at first and it looks a little bit cluttered as I was reading through it as a non CS person. However, it got the job done by describing the underlying context of the scene. "
2025-04-07 16:07:22,2025-04-07 16:11:31,IP Address,130.64.64.37,100,248,True,2025-04-07 16:11:31,R_1EcBORnvHJhDTvI,,,,,42.415,-71.1061,anonymous,EN,,18-24,Male,No,,,No,,,Never,,,Not familiar at all,2,4,2,3,3,5,4,4,2,4,5,The context clues were all very helpful,"Some places the sentiment/context annotations were incorrect, and there were also long stretches where it was empty, so the caption system didn't add any context.","Add a way to customize how much context is seen, I felt a bit overwhelmed when reading"
2025-04-07 17:53:27,2025-04-07 17:57:16,IP Address,50.247.252.94,100,229,True,2025-04-07 17:57:16,R_7IKuIYiCxFcssuk,,,,,42.364,-71.0265,anonymous,EN,1399827,18-24,Female,No,,,No,,,Always,Movies/TV Shows,,Slightly familiar,5,4,4,4,4,5,3,2,5,4,3,Knowing the tone/context.,n/a,Sometimes I couldn't tell when the speaker was changing so if it is possible to somehow signal that I think it would be helpful.
2025-04-01 14:14:44,2025-04-01 14:15:00,IP Address,172.56.195.40,4,16,False,2025-04-08 14:15:07,R_1YQVs3tXkPcQHZ1,,,,,42.415,-71.0527,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-08 20:53:03,2025-04-08 21:45:10,IP Address,173.76.23.21,100,3126,True,2025-04-08 21:45:11,R_6ef9RxxnpIHSFyj,,,,,42.3162,-71.1198,anonymous,EN,,18-24,Male,No,,,No,,,Sometimes,Movies/TV Shows,,Not familiar at all,5,4,4,4,5,4,3,3,4,4,5,The tone was helpful and could really help me visualize the two having the conversation. It brought me closer to how I felt while watching the video itself.,"Yes, ""how would you describe your freak"" should not be [offensive] for the context. For the ""I can't eat the bone (She sticks out her tongue jokingly)"" the subtext could be [Sexual Innuendo]. It only has context [sarcastic]. I'm just comparing this to the breadth of context and information that comes after the tight rope tight pussy line further down.","Some of the longer descriptions such as the one for the only geography she knows is California, feels unnecessary. Another suggestion is some of the lines have the blank [] for context until the last bit of that conversation wraps up. I suggest making the system include the context for each step if possible."
